iter	Logloss
0	0.6816305684
1	0.6703395733
2	0.6596329256
3	0.6497816318
4	0.6411860003
5	0.6330911024
6	0.6249426409
7	0.6172578015
8	0.6101980096
9	0.6034105358
10	0.5971969691
11	0.591369763
12	0.586212534
13	0.5810727355
14	0.5761679795
15	0.5722498379
16	0.5679034139
17	0.5639195301
18	0.5600393552
19	0.5565693643
20	0.553438456
21	0.5506360664
22	0.5474575043
23	0.5442807514
24	0.5413569401
25	0.538852018
26	0.536274185
27	0.5340571869
28	0.531672567
29	0.5295421284
30	0.5274510058
31	0.5255805966
32	0.5235072138
33	0.5217830103
34	0.5201281542
35	0.5186257548
36	0.5171455803
37	0.5158443156
38	0.5142924877
39	0.5130670629
40	0.5118776827
41	0.5104266985
42	0.5093054492
43	0.5082922924
44	0.5071716905
45	0.5062323011
46	0.5051292272
47	0.5042887224
48	0.5034979773
49	0.5024201778
50	0.5014247609
51	0.5004572497
52	0.4994965568
53	0.498616008
54	0.4978737311
55	0.4970875275
56	0.4965302064
57	0.4956312573
58	0.4950937535
59	0.4943745845
60	0.4936404081
61	0.4929612484
62	0.4925812443
63	0.4918423608
64	0.4912328776
65	0.4906258628
66	0.4900939978
67	0.489689839
68	0.4891283745
69	0.4885375313
70	0.4879885994
71	0.4871276601
72	0.4863006604
73	0.485904027
74	0.4855457824
75	0.4850376333
76	0.4842838541
77	0.4835077953
78	0.4830694712
79	0.4826099144
80	0.4819236934
81	0.4813990195
82	0.4810079222
83	0.4805701458
84	0.480136589
85	0.4794489271
86	0.4781982715
87	0.4776501022
88	0.4772632287
89	0.4769112634
90	0.4761659728
91	0.4758656692
92	0.4754926622
93	0.4748148185
94	0.4740339876
95	0.4736612651
96	0.4727917588
97	0.4722643082
98	0.4718788636
99	0.4708797319
100	0.4706273283
101	0.4701328076
102	0.4694333902
103	0.469120331
104	0.4685832076
105	0.4682023661
106	0.4676752216
107	0.4673297338
108	0.4670276111
109	0.4667461219
110	0.4660908688
111	0.465863244
112	0.4655047467
113	0.4652397533
114	0.4646098994
115	0.4639692286
116	0.463693645
117	0.4634265446
118	0.463068489
119	0.4626832384
120	0.4624539085
121	0.4620678897
122	0.4611990088
123	0.4606475368
124	0.4604309685
125	0.4600816883
126	0.4596400963
127	0.4588654646
128	0.4585175022
129	0.4581694547
130	0.4578213926
131	0.4575518621
132	0.456936544
133	0.4564771346
134	0.455691443
135	0.4552847124
136	0.4547833
137	0.4545004515
138	0.4542101532
139	0.4538701848
140	0.4536136693
141	0.4534619564
142	0.4531207275
143	0.4526110243
144	0.4522411095
145	0.4514866386
146	0.4505845761
147	0.4499220997
148	0.4497603458
149	0.4493682179
150	0.4490787855
151	0.4487874477
152	0.4485299301
153	0.4481416097
154	0.4479418693
155	0.4476862208
156	0.4469427084
157	0.4464039435
158	0.4459386096
159	0.4456389007
160	0.4451284113
161	0.4448957
162	0.4443813013
163	0.443968293
164	0.4436015144
165	0.4433374202
166	0.4430946696
167	0.4427322447
168	0.4424778184
169	0.4414119934
170	0.44115835
171	0.4409465177
172	0.4407001121
173	0.4404780583
174	0.4399487208
175	0.4397136179
176	0.4394414326
177	0.4392073334
178	0.4388850781
179	0.4386319303
180	0.4382744897
181	0.4379019682
182	0.4377069435
183	0.4373840377
184	0.4370343555
185	0.4366246297
186	0.4363194529
187	0.4361244279
188	0.4359443367
189	0.4356478219
190	0.4354027504
191	0.4352204102
192	0.4348882029
193	0.4342405131
194	0.4338746042
195	0.4335546188
196	0.4333397246
197	0.4326889664
198	0.4323722947
199	0.4321191025
200	0.4319291333
201	0.4314023119
202	0.4311457359
203	0.4305879331
204	0.4303094909
205	0.4299477
206	0.4295348963
207	0.4293053544
208	0.4288014861
209	0.4283164749
210	0.4281806387
211	0.4279820655
212	0.4278103763
213	0.4276008626
214	0.427255669
215	0.4270115284
216	0.4267835885
217	0.4265676146
218	0.4262910551
219	0.4260086753
220	0.4256892526
221	0.4253116523
222	0.4250674674
223	0.424873128
224	0.42448137
225	0.424255584
226	0.423643363
227	0.4233214656
228	0.4230085063
229	0.4226359487
230	0.4222218143
231	0.421882069
232	0.4215881493
233	0.4213796048
234	0.421048529
235	0.4208919917
236	0.4206169075
237	0.4202447338
238	0.4201596429
239	0.4199268373
240	0.419713596
241	0.4191047457
242	0.4189595974
243	0.4188061378
244	0.41840464
245	0.4182152785
246	0.418064588
247	0.4179605138
248	0.4176310853
249	0.4174459234
250	0.4172122427
251	0.4170036559
252	0.4168126097
253	0.4165760952
254	0.4161922132
255	0.4159184872
256	0.4155330375
257	0.4153370194
258	0.4152078739
259	0.4146537367
260	0.4142387084
261	0.4139188011
262	0.4136188079
263	0.4132735424
264	0.4130292306
265	0.4126876676
266	0.4121665302
267	0.4119840545
268	0.4118908177
269	0.4114227927
270	0.4111269635
271	0.4106170835
272	0.410374391
273	0.4100208443
274	0.4098118418
275	0.409465703
276	0.409261131
277	0.408920435
278	0.4085258869
279	0.4083302355
280	0.4079428496
281	0.407693552
282	0.4071437688
283	0.4068776396
284	0.406734664
285	0.4062610763
286	0.4055600821
287	0.4054058052
288	0.4049632732
289	0.4047539056
290	0.4045740044
291	0.4042419945
292	0.4040220494
293	0.4038225785
294	0.4034522623
295	0.4032047578
296	0.402278735
297	0.4021089598
298	0.4019177376
299	0.4013186861
300	0.4009824932
301	0.4008760624
302	0.4006638998
303	0.4001395213
304	0.3998164692
305	0.399459476
306	0.3993592932
307	0.3990839006
308	0.3989398053
309	0.3987142276
310	0.3985142891
311	0.3978493375
312	0.3975369904
313	0.3972606047
314	0.396960581
315	0.3963082428
316	0.3956640694
317	0.3954904905
318	0.3951686357
319	0.3949945835
320	0.3944436866
321	0.3939267279
322	0.3933904382
323	0.3931740621
324	0.3928131158
325	0.3924223783
326	0.3920656923
327	0.3917535152
328	0.3914670062
329	0.3907810585
330	0.3904723703
331	0.3901567604
332	0.3888635211
333	0.3885695618
334	0.3883447496
335	0.3881188559
336	0.3878166208
337	0.3876228735
338	0.3872314801
339	0.386992948
340	0.3867268097
341	0.3865329796
342	0.386348357
343	0.3861571742
344	0.3858252034
345	0.3854494899
346	0.3853335163
347	0.3850579828
348	0.3846030837
349	0.3843138444
350	0.3837223426
351	0.3835808601
352	0.383029382
353	0.3828673657
354	0.3826676523
355	0.3824316339
356	0.3822602264
357	0.3819568755
358	0.3816362872
359	0.3815067404
360	0.3812518697
361	0.3809482664
362	0.3806622881
363	0.3803166982
364	0.3801441815
365	0.3797729419
366	0.3795639561
367	0.3788321651
368	0.3784712857
369	0.3780468996
370	0.3778119959
371	0.377447259
372	0.3769998903
373	0.3767508548
374	0.3764875025
375	0.3759131765
376	0.3756549902
377	0.3753756274
378	0.3751566022
379	0.3748575141
380	0.3745556424
381	0.37429301
382	0.3740629897
383	0.3737587262
384	0.3735249521
385	0.3732980454
386	0.3730661231
387	0.372379841
388	0.3722009691
389	0.371982349
390	0.3711939232
391	0.3709470277
392	0.3707527298
393	0.3704595135
394	0.3702147649
395	0.3699177671
396	0.3697149023
397	0.3694371396
398	0.3693005038
399	0.3691214638
400	0.3689037752
401	0.3686426695
402	0.3684016708
403	0.3682199946
404	0.3680477498
405	0.3678580714
406	0.3672279925
407	0.3667833823
408	0.3665956975
409	0.3664031578
410	0.3658154762
411	0.3653555043
412	0.3650505877
413	0.3648453235
414	0.3642268237
415	0.364066936
416	0.3637449446
417	0.3636409392
418	0.3635110443
419	0.3633194906
420	0.3631584945
421	0.3629506643
422	0.3621688327
423	0.3619621215
424	0.3618119211
425	0.3614362447
426	0.3612878679
427	0.3611510155
428	0.3609151159
429	0.3607477585
430	0.360548533
431	0.3603271014
432	0.3601746352
433	0.3599748051
434	0.3597129735
435	0.3594041937
436	0.3591817905
437	0.3588961822
438	0.3585622818
439	0.3584002552
440	0.358127676
441	0.357831283
442	0.3576510342
443	0.3574239072
444	0.3572884836
445	0.3571509058
446	0.3568466398
447	0.3566256768
448	0.356453924
449	0.3562950148
450	0.3560570019
451	0.3558633593
452	0.3557251818
453	0.3555249703
454	0.355246372
455	0.3550760287
456	0.3547977871
457	0.354163075
458	0.353943353
459	0.3537863892
460	0.3531524841
461	0.3528983892
462	0.3528092048
463	0.3525026641
464	0.3522627038
465	0.3520201215
466	0.351946035
467	0.3518345468
468	0.3517109037
469	0.3515624229
470	0.3513855208
471	0.3510568755
472	0.3504115245
473	0.350293108
474	0.3501941008
475	0.3495280968
476	0.3493978362
477	0.3491565805
478	0.3485927439
479	0.3480581752
480	0.3478349491
481	0.347666677
482	0.347429171
483	0.3472326191
484	0.346863993
485	0.3465868764
486	0.346151061
487	0.3459007631
488	0.3457830734
489	0.3456470435
490	0.3454941005
491	0.3452938915
492	0.3451264115
493	0.3448480213
494	0.3447555257
495	0.344614874
496	0.3445186659
497	0.3443257885
498	0.3441265186
499	0.3440342549
500	0.3439159515
501	0.343779204
502	0.3435950776
503	0.3434623451
504	0.3429583323
505	0.3428185546
506	0.342617373
507	0.3424519711
508	0.3422629076
509	0.3419131941
510	0.3418395716
511	0.3415586071
512	0.3414176081
513	0.3412362778
514	0.3410607225
515	0.3408164385
516	0.3406167292
517	0.3404663002
518	0.340308754
519	0.3401542151
520	0.3399827502
521	0.3398835432
522	0.3396526205
523	0.3392492591
524	0.3389467605
525	0.3387476366
526	0.3385568437
527	0.3383885673
528	0.3380959087
529	0.3379475875
530	0.3377251779
531	0.337540524
532	0.3374079472
